user_id,tier,age,hours_per_week,months_subscribed,support_tickets,num_profiles,churned
U0001,premium,25,1.7,18,3,2,0
U0002,basic,61,22.5,35,1,5,0
U0003,basic,23,7.3,33,0,5,0
U0004,premium,62,16.8,15,7,5,1
U0005,basic,28,21.2,22,4,2,1
U0006,standard,24,3.7,7,5,3,0
U0007,basic,64,14.3,8,6,1,0
U0008,premium,57,26.7,24,3,1,0
U0009,basic,36,29.6,15,1,4,0
U0010,premium,41,5.7,23,3,3,0
U0011,premium,59,3.1,11,8,2,1
U0012,standard,35,29.7,36,3,3,0
U0013,basic,32,24.8,21,6,3,1
U0014,premium,63,10.1,32,6,4,1
U0015,basic,33,22.6,35,4,5,0
U0016,premium,43,11.5,9,8,4,1
U0017,basic,25,5.4,11,6,5,1
U0018,standard,56,29.9,34,4,5,0
U0019,basic,61,21.9,35,4,3,1
U0020,standard,28,14.2,17,8,2,0
U0021,basic,58,9.7,33,3,2,0
U0022,basic,52,28.7,34,0,5,0
U0023,basic,25,27.9,20,3,1,0
U0024,premium,23,3.5,32,1,5,0
U0025,basic,60,14.8,36,2,3,0
U0026,premium,45,29.0,35,3,3,0
U0027,premium,59,11.8,34,7,1,1
U0028,basic,39,1.6,36,3,5,1
U0029,basic,63,19.3,15,1,1,0
U0030,basic,50,7.9,32,3,5,0
U0031,premium,54,14.7,31,6,2,1
U0032,premium,45,11.3,27,7,1,0
U0033,premium,24,2.8,22,1,2,0
U0034,premium,46,5.1,12,4,4,1
U0035,basic,46,24.4,36,1,1,0
U0036,premium,18,29.1,16,2,4,0
U0037,basic,43,27.2,11,6,1,0
U0038,standard,47,9.3,36,7,2,1
U0039,basic,21,17.8,35,0,3,1
U0040,premium,48,15.6,34,2,1,0
U0041,basic,29,3.0,5,3,4,1
U0042,premium,33,17.8,3,1,4,0
U0043,premium,51,10.2,17,3,3,0
U0044,standard,26,20.5,20,7,3,0
U0045,basic,18,14.3,7,1,5,0
U0046,standard,26,28.1,5,3,3,0
U0047,standard,52,21.4,34,0,5,0
U0048,premium,24,28.2,9,4,1,0
U0049,premium,53,5.5,19,3,3,0
U0050,premium,34,15.7,17,0,1,0
U0051,standard,20,1.1,9,4,2,0
U0052,premium,63,13.4,1,1,1,0
U0053,premium,27,16.8,24,8,2,0
U0054,basic,37,11.6,3,5,2,0
U0055,premium,24,11.3,36,6,5,0
U0056,basic,28,29.3,12,6,1,1
U0057,standard,44,24.3,16,4,2,0
U0058,basic,42,26.3,31,3,2,0
U0059,standard,40,9.9,15,3,1,0
U0060,standard,39,9.1,5,4,3,0
U0061,standard,61,29.5,35,5,1,1
U0062,standard,29,17.8,17,0,1,0
U0063,standard,64,23.8,28,8,1,0
U0064,premium,30,8.4,28,0,5,0
U0065,premium,61,21.9,13,5,4,1
U0066,premium,39,19.1,8,4,5,0
U0067,standard,38,12.7,19,8,2,1
U0068,premium,42,20.6,12,4,4,0
U0069,basic,37,9.3,28,5,4,0
U0070,premium,31,15.8,11,1,3,0
U0071,premium,57,10.7,16,4,2,0
U0072,basic,19,2.3,31,1,4,1
U0073,premium,54,6.6,25,7,4,1
U0074,premium,62,1.2,7,6,2,1
U0075,premium,51,14.5,36,3,1,0
U0076,standard,60,16.4,36,5,4,0
U0077,premium,50,13.4,36,7,2,0
U0078,standard,46,8.5,16,4,5,0
U0079,basic,35,13.8,19,3,3,0
U0080,premium,23,5.0,15,6,2,0
U0081,basic,44,12.8,35,7,4,1
U0082,standard,42,27.2,2,6,4,1
U0083,standard,37,22.9,27,8,5,0
U0084,basic,49,7.4,28,7,1,0
U0085,premium,61,24.1,11,7,2,0
U0086,premium,19,27.3,2,1,4,0
U0087,standard,29,2.5,25,5,2,0
U0088,standard,42,9.1,27,4,1,0
U0089,premium,52,2.5,23,3,1,0
U0090,premium,20,22.9,16,3,1,0
U0091,basic,26,14.7,8,3,4,0
U0092,standard,28,18.6,8,2,3,0
U0093,basic,37,17.7,25,6,2,1
U0094,premium,58,8.0,20,1,5,0
U0095,standard,52,13.4,24,1,5,0
U0096,basic,44,24.8,7,6,3,0
U0097,standard,63,5.4,12,8,3,0
U0098,premium,48,14.5,18,5,2,0
U0099,basic,35,26.6,16,7,5,0
U0100,standard,39,1.8,21,2,4,0
U0101,standard,39,9.1,18,8,1,0
U0102,basic,23,8.0,27,7,5,0
U0103,premium,48,19.7,32,7,1,1
U0104,basic,43,21.1,20,5,4,0
U0105,standard,45,29.9,36,5,3,0
U0106,standard,37,8.3,8,3,3,0
U0107,premium,62,6.4,14,7,3,0
U0108,premium,56,9.2,7,3,3,0
U0109,basic,37,1.4,35,2,3,1
U0110,basic,53,9.5,9,7,1,0
U0111,premium,36,14.6,29,5,2,0
U0112,standard,48,4.3,5,6,4,1
U0113,premium,61,2.6,10,4,1,0
U0114,basic,53,23.2,15,8,4,0
U0115,standard,37,25.9,28,4,5,0
U0116,premium,65,3.9,14,3,3,0
U0117,basic,33,6.0,5,2,1,0
U0118,premium,56,14.6,3,3,3,0
U0119,premium,47,3.1,15,4,5,0
U0120,basic,45,4.3,15,2,3,0
U0121,basic,21,5.8,20,4,4,1
U0122,premium,37,21.3,18,8,5,0
U0123,basic,56,2.2,28,5,5,1
U0124,basic,32,28.9,2,4,5,1
U0125,basic,48,16.0,29,4,2,0
U0126,standard,58,24.6,6,7,3,0
U0127,standard,60,4.0,11,5,4,0
U0128,standard,60,28.4,36,0,4,0
U0129,standard,38,4.4,26,8,1,0
U0130,premium,47,13.0,13,8,3,0
U0131,standard,58,13.8,4,3,3,0
U0132,standard,46,26.5,32,1,1,0
U0133,premium,33,21.6,20,8,1,0
U0134,basic,32,29.8,8,7,1,0
U0135,basic,49,28.0,19,8,3,0
U0136,standard,48,8.1,36,2,4,0
U0137,premium,50,22.6,9,1,3,0
U0138,standard,39,28.1,33,4,1,0
U0139,standard,55,17.8,32,2,4,0
U0140,standard,39,17.0,35,6,4,0
U0141,basic,62,7.9,25,3,4,1
U0142,premium,48,21.5,25,6,2,0
U0143,basic,26,15.6,22,1,4,0
U0144,standard,18,22.0,27,2,1,0
U0145,standard,39,19.1,26,1,3,0
U0146,premium,42,28.7,32,8,1,0
U0147,basic,58,20.8,19,3,1,0
U0148,basic,58,21.4,7,7,2,0
U0149,basic,20,10.4,4,4,3,1
U0150,basic,33,16.4,12,2,2,1
U0151,standard,57,20.8,32,2,2,0
U0152,standard,47,8.4,1,7,3,0
U0153,basic,22,13.8,23,4,4,0
U0154,standard,37,6.8,25,7,1,1
U0155,premium,40,17.7,19,0,4,0
U0156,premium,61,23.6,4,7,3,0
U0157,basic,56,24.3,15,3,5,0
U0158,premium,60,20.7,9,1,1,0
U0159,standard,20,17.8,9,1,3,0
U0160,standard,29,6.8,35,5,5,0
U0161,standard,28,8.5,31,4,3,0
U0162,standard,22,5.1,15,6,5,1
U0163,standard,18,8.7,8,7,3,0
U0164,premium,34,18.0,24,1,2,0
U0165,premium,53,10.5,15,1,4,0
U0166,standard,59,12.8,9,0,1,0
U0167,standard,25,3.8,35,2,4,0
U0168,premium,65,21.2,35,6,5,0
U0169,basic,44,20.0,32,6,3,1
U0170,standard,31,13.9,16,5,1,0
U0171,standard,52,27.1,23,0,4,0
U0172,basic,47,3.7,14,0,1,0
U0173,basic,26,23.8,14,1,5,0
U0174,basic,32,10.5,10,0,3,0
U0175,basic,26,16.7,12,1,1,0
U0176,standard,33,18.1,2,2,3,1
U0177,premium,44,16.3,5,7,4,0
U0178,premium,55,4.2,33,3,5,0
U0179,premium,51,9.7,2,0,4,0
U0180,standard,61,4.1,29,1,1,0
U0181,basic,22,4.7,36,5,4,0
U0182,premium,36,14.2,28,1,1,0
U0183,premium,53,21.9,14,6,4,0
U0184,standard,39,25.0,26,6,1,0
U0185,standard,60,8.4,10,7,1,1
U0186,basic,23,13.5,24,2,5,1
U0187,premium,53,10.6,8,6,3,0
U0188,standard,64,2.5,19,4,3,1
U0189,premium,31,5.5,31,3,1,0
U0190,premium,41,4.3,18,3,4,0
U0191,premium,57,20.6,36,0,5,0
U0192,premium,35,1.8,18,4,3,0
U0193,basic,27,17.4,26,1,2,0
U0194,basic,23,22.6,14,6,4,0
U0195,basic,41,10.0,21,1,1,0
U0196,premium,21,20.5,18,7,4,0
U0197,standard,44,8.9,33,1,3,0
U0198,standard,61,20.7,32,8,3,1
U0199,standard,56,2.6,14,4,2,0
U0200,standard,36,10.5,1,7,4,1
